,,Destination Zones,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Origin Zones,1,0.00,0.00,0.00,0.02,0.00,0.01,0.01,0.03,0.00,0.09,0.11,0.09,0.06,0.07,0.11,0.01,0.26,0.12
,2,0.00,0.04,0.05,0.75,0.02,0.17,0.20,0.90,0.06,2.41,3.10,2.52,1.62,1.82,2.93,0.25,6.94,3.21
,3,0.00,0.04,0.08,1.13,0.03,0.21,0.26,1.33,0.08,3.24,4.28,3.48,2.14,2.49,4.00,0.35,9.48,4.37
,4,0.01,0.06,0.10,1.76,0.03,0.28,0.33,1.81,0.11,4.80,6.64,5.84,2.92,3.46,5.73,0.54,12.98,6.61
,5,0.00,0.01,0.01,0.15,0.01,0.04,0.04,0.20,0.02,0.66,0.79,0.67,0.41,0.45,0.72,0.06,1.83,0.91
,6,0.00,0.02,0.03,0.51,0.02,0.13,0.14,0.61,0.05,1.99,2.40,2.00,1.26,1.40,2.17,0.19,5.40,2.68
,7,0.00,0.04,0.06,0.84,0.02,0.20,0.26,1.09,0.07,3.23,4.48,3.62,2.11,2.44,3.88,0.34,9.62,4.68
,8,0.04,0.43,0.74,11.37,0.26,2.15,2.67,14.80,0.85,39.86,56.88,48.82,24.42,29.67,49.31,4.45,119.78,59.50
,9,0.00,0.04,0.06,0.96,0.03,0.24,0.25,1.19,0.10,3.89,4.92,4.08,2.67,2.88,4.62,0.39,10.72,4.97
,10,0.00,0.00,0.00,0.07,0.00,0.02,0.02,0.09,0.01,0.30,0.37,0.28,0.18,0.21,0.33,0.03,0.75,0.36
,11,0.00,0.01,0.02,0.29,0.01,0.06,0.08,0.39,0.02,1.15,1.76,1.42,0.73,0.93,1.58,0.14,3.62,1.79
,12,0.01,0.07,0.12,2.28,0.05,0.44,0.55,3.03,0.18,7.88,12.80,11.85,5.55,7.09,11.79,1.08,28.07,14.15
,13,0.01,0.10,0.15,2.32,0.07,0.56,0.65,3.09,0.24,10.46,13.37,11.31,8.40,8.74,13.47,1.17,34.91,17.00
,14,0.06,0.60,0.96,15.00,0.40,3.40,4.12,20.43,1.41,67.21,93.53,78.69,47.61,64.56,102.04,8.46,258.02,122.52
,15,0.27,2.66,4.25,68.65,1.78,14.58,18.11,93.96,6.27,286.77,438.85,361.91,203.14,282.46,486.06,40.48,1145.90,574.90
,16,0.18,1.82,2.94,50.92,1.23,10.14,12.59,66.97,4.21,190.57,303.53,261.84,139.10,184.91,319.79,31.73,812.62,415.93
,17,0.15,1.51,2.40,37.08,1.08,8.66,10.71,54.44,3.47,154.13,239.43,205.52,125.59,170.32,273.27,24.53,873.99,400.74
,18,0.26,2.54,4.03,68.90,1.96,15.70,19.02,98.65,5.86,268.37,431.75,378.08,223.09,295.08,500.21,45.81,1462.12,839.57
